No.,브랜드명,상품명,리뷰 계정명,별점,날짜,리뷰 내용,출처 웹사이트
48,hankook,Ventus S1 AS,wereallylovepizza,5,2024-04-09,"Got me out of a Jamb!
great value",ebay.com
49,hankook,Ventus S1 AS,Wilson N.,5,2024-04-09,"Worked great
Worked great",prioritytire.com
50,hankook,Ventus S1 AS,WalmartCustomer,5,2024-04-09,"Good tire for EV
I purchased these for my Tesla model Y.
I chosen them because they are rated to be a bit harder than Goodyear , so they would last longer. Great tire. One thing though, they will make more noise on the highway because there is no foam inside but only for about a month or two.",walmart.com
51,hankook,Ventus S1 AS,WILSON N.,5,2024-04-09,"Worked great
Worked great",prioritytire.com
52,hankook,Ventus S1 AS,THOMAS S.,1,2024-04-09,"Never buy again
I bought the tire 4/3/23 and today is 4/10/23
Didn’t receive the tires yet
Called the customer service it took 20 minutes to get someone on phone and didn’t give a satisfactory answer.",prioritytire.com
53,hankook,Ventus S1 AS,Some items are shipped by other vendors but still not a big issue.,5,2024-04-09,Some items are shipped by other vendors but still not a big issue.,walmart.com
54,hankook,Ventus S1 AS,Schemaz65,5,2024-04-09,"Great
Makes my ride feel brand new again quiet and handles well in wet and dry conditions",walmart.com
55,hankook,Ventus S1 AS,Salvador,4,2024-04-09,"Hankook
Really great tires smooth ride no noise.",walmart.com
56,hankook,Ventus S1 AS,R B.,5,2024-04-09,"New tires
Very easy everything was great",prioritytire.com
57,hankook,Ventus S1 AS,Ortiz,4,2024-04-09,"Good purchase
Low noise
Good gripping and smooth.",walmart.com
58,hankook,Ventus S1 AS,Mark B.,5,2024-04-09,"Quiet tires
Put these tires on my tesla, seems to drive a lot quieter than my original tires.",prioritytire.com
59,hankook,Ventus S1 AS,MIGUEL R.,5,2024-04-09,"Good Tires
Good Tires",bbwheelsonline.com
60,hankook,Ventus S1 AS,MIGUEL R.,5,2024-04-09,"Good tires.
Good tires.",bbwheelsonline.com
61,hankook,Ventus S1 AS,Excelente producto,5,2024-04-09,Excelente producto,walmart.com
62,hankook,Ventus S1 AS,Dino S.,2,2024-04-09,"having trouble with back tires
having trouble with back tires vibration at 60 miles an hour tried three different solution problem is still their.",prioritytire.com
63,hankook,Ventus S1 AS,DINO S.,2,2024-04-09,"having trouble with back tires
having trouble with back tires vibration at 60 miles an hour tried three different solution problem is still their.",prioritytire.com
64,hankook,Ventus S1 AS,Brittany,5,2024-04-09,These came quickly and were the best price I found on these tires.,walmart.com
65,hankook,Ventus S1 AS,Bill,5,2024-04-09,"Affordable Quality
Put them on a Honda Civic, they are fairly quiet and handle well in both on dry and in wet conditions. Good quality at affordable price.",walmart.com
66,hankook,Ventus S1 AS,BRANDON A.,5,2024-04-09,"Great products from Hankook
Great products and exceptional traction and ride quality.",bbwheelsonline.com
67,hankook,Ventus S1 AS,Anthony,1,2024-04-09,,
68,hankook,Ventus S1 AS,,5,2024-04-09,my mechanic wanted $350.00 for this same tire…I needed two and already had 1…savings and time ordered was excellent…for ten years I have been using this brand…nice to see it in stock…,walmart.com
69,hankook,Ventus S1 AS,charlie,5,2023-04-09,The price was the best price available. I received this order within 48 hours. I would see the item I ordered. Everything was fine. I’m saving money and living better,walmart.com
70,hankook,Ventus S1 AS,STEPHANIE H.,5,2023-04-09,"Amazingly easy online ordering and
Amazingly easy online ordering and product search specific for your car couldn’t be more satisfied.",bbwheelsonline.com
71,hankook,Ventus S1 AS,Carl L.,5,2023-04-09,"Great value for the price…
Great value for the price…",prioritytire.com
72,hankook,Ventus S1 AS,Candido,5,2023-04-09,"Happy
Fast delivery nd good tires",prioritytire.com
73,hankook,Ventus S1 AS,wildoats51,5,2021-04-09,"Great value
Great price for really good tires.",ebay.com
